Metabolite name (short)	Acetate	SD	Fructose	SD	Galactose	SD	Glucose	SD	Glycerol	SD	Gluconate	SD	Pyruvate	SD	Succinate	SD
adp_c	0.8905	0.0207	1.3807	0.1289	0.7870	0.0183	1.3906	0.0170	0.8456	0.0064	0.8482	0.0377	0.9876	0.0429	1.3452	0.0430
amp_c	0.7179	0.0558	1.1019	0.1012	0.5657	0.0190	1.1091	0.0566	0.6928	0.0125	0.6703	0.0083	0.7719	0.0141	1.0864	0.0459
atp_c	5.1628	0.2125	7.4558	0.6256	4.0886	0.0741	7.9330	0.1555	4.7673	0.2336	4.6411	0.0805	5.7760	0.1741	7.7226	0.1415
glu__L_c	50.8032	1.8672	85.8333	5.9292	33.1123	6.8360	70.4984	1.1206	61.2490	2.1003	59.2527	1.7777	68.3576	1.1910	104.3242	2.9380
gln__L_c	5.1278	0.3951	5.8731	0.4601	1.9797	0.0839	5.5883	0.0566	4.3365	0.0996	4.9663	0.1725	7.0154	0.4260	9.5686	0.8250
asn__L_c	0.6229	0.0494	0.9448	0.0942	0.4530	0.0466	0.8623	0.0217	0.6616	0.2156	0.6163	0.0393	1.0312	0.1629	0.7682	0.0311
asp__L_c	3.6013	0.1202	3.4762	0.3660	1.5042	0.0709	3.2152	0.1360	3.0285	1.3810	2.7711	0.1388	2.6919	0.2630	5.0537	0.2658
tyr__L_c	0.2358	0.0331	0.1281	0.0189	0.1583	0.0119	0.1924	0.0078	0.4085	0.3948	0.1330	0.0107	0.3767	0.0370	0.2419	0.0270
arg__L_c	34.8578	8.3157	12.6901	1.6390	2.2169	0.3898	5.9819	1.2704	5.9684	0.6638	4.1525	1.0858	17.4026	5.8632	8.2306	2.0347
ade_c	0.0155	0.0008	0.0129	0.0014	0.0129	0.0006	0.0311	0.0112	0.0156	0.0010	0.0372	0.0063	0.0248	0.0029	0.0189	0.0009
phe__L_c	0.1469	0.0280	0.1652	0.0288	0.1035	0.0200	0.2533	0.0198	0.1975	0.0073	0.1600	0.0222	0.1874	0.0130	0.2268	0.0300
gdp_c	0.3789	0.0213	0.6848	0.0597	0.3386	0.0135	0.7672	0.0076	0.4333	0.0131	0.4601	0.0339	0.4258	0.0252	0.7082	0.0152
gmp_c	0.0985	0.0371	0.0920	0.0283	0.1813	0.0274	0.3982	0.1179	0.1513	0.0116	0.1331	0.0534	0.0564	0.0133	0.2590	0.0726
gtp_c	1.7021	0.1116	3.2520	0.3731	1.4481	0.1461	3.1469	0.1585	2.0286	0.0188	2.1609	0.0889	1.8980	0.0466	3.2025	0.1297
nad_c	7.3239	0.1660	3.8799	0.3715	5.1500	0.3306	4.8595	0.2825	4.3957	0.2637	4.2087	0.1164	6.7505	0.1868	7.1662	0.4618
nadh_c	0.0503	0.0375	1.0497	0.7427	0.2898	0.0928	0.0631	0.0030	0.1630	0.0276	0.0602	0.0035	0.2018	0.1711	0.0834	0.0187
nadp_c	0.0263	0.0015	0.0195	0.0005	0.0168	0.0012	0.0260	0.0008	0.0203	0.0009	0.0153	0.0006	0.0184	0.0007	0.0256	0.0006
nadph_c	0.1674	0.0570	0.2013	0.0240	0.1378	0.0312	0.2620	0.0212	0.1684	0.0081	0.2372	0.0428	0.1330	0.0080	0.1828	0.0195
13dpg_c	0.0962	0.0179	0.0867	0.0062	0.1625	0.0513	0.1168	0.0044	0.0812	0.0116	0.1022	0.0180	0.0662	0.0053	0.1589	0.0202
