Flux	ID	Acetate		Fructose		Galactose		Glucose		Glycerol		Gluconate		Pyruvate		Succinate	
Ace_Ex	EX_ac_e_bw	13.5840	0.3255	-3.3287	0.0588	0.0000	0.0000	-6.8270	1.0289	-0.5970	0.2002	-5.0040	0.1576	-11.9139	0.5305	-3.3210	0.3087
Fru_Ex	EX_fru_e_bw	0.0000	0.0000	8.3280	0.2788	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
Gal_Ex	N/A	0.0000	0.0000	0.0000	0.0000	1.9690	0.0132	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
Glc_Ex	EX_glc__D_e_bw	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	9.6540	0.0380	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
Gly_Ex	EX_glyc_e_bw	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	4.9448	0.1459	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
Gln_Ex	EX_glcn_e_bw	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	7.2839	0.0336	0.0000	0.0000	0.0000	0.0000
Pyr_Ex	EX_pyr_e_bw	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	26.7140	0.7982	0.0000	0.0000
Suc_Ex	EX_succ_e_bw	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	15.9020	0.3057
Fum_Ex	EX_fum_e_bw	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.1400	0.0690
Lac_Ex	EX_lac__D_e_bw	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.1570	0.0690	0.0000	0.0000
PGI	PGI_fw	-3.4233	0.5667	-6.1979	0.3726	1.3685	0.0400	5.7000	0.3110	-3.4494	0.1624	-0.0313	0.0000	-0.8982	0.0667	-5.5903	0.5445
